sitename,date,ecoli_value (MPN/100mL)
Foxton Loop at Harbour St Boat Ramp,2023-01-30 00:00:00,295
Foxton Loop at Harbour St Boat Ramp,2023-02-07 00:00:00,1616
Foxton Loop at Harbour St Boat Ramp,2023-02-20 00:00:00,2610
Foxton Loop at Harbour St Boat Ramp,2023-02-27 00:00:00,146
Foxton Loop at Harbour St Boat Ramp,2023-03-06 00:00:00,373
Foxton Loop at Harbour St Boat Ramp,2023-03-13 00:00:00,369
Foxton Loop at Harbour St Boat Ramp,2023-03-20 00:00:00,727
Foxton Loop at Harbour St Boat Ramp,2023-03-27 00:00:00,573
Foxton Loop at Harbour St Boat Ramp,2023-04-03 00:00:00,932
Foxton Loop at Harbour St Boat Ramp,2023-04-11 00:00:00,318
Foxton Loop at Harbour St Boat Ramp,2023-04-17 00:00:00,616
Foxton Loop at Harbour St Boat Ramp,2023-04-24 00:00:00,2480
Foxton Loop at Harbour St Boat Ramp,2023-11-08 00:00:00,158
Foxton Loop at Harbour St Boat Ramp,2023-11-13 00:00:00,241
Foxton Loop at Harbour St Boat Ramp,2023-11-20 00:00:00,727
Foxton Loop at Harbour St Boat Ramp,2023-11-27 00:00:00,473
Foxton Loop at Harbour St Boat Ramp,2023-12-04 00:00:00,97
Foxton Loop at Harbour St Boat Ramp,2023-12-11 00:00:00,586
Foxton Loop at Harbour St Boat Ramp,2023-12-18 00:00:00,231
Foxton Loop at Harbour St Boat Ramp,2023-12-27 00:00:00,243
Foxton Loop at Harbour St Boat Ramp,2024-01-03 00:00:00,171
Foxton Loop at Harbour St Boat Ramp,2024-01-08 00:00:00,246
Foxton Loop at Harbour St Boat Ramp,2024-01-15 00:00:00,583
Foxton Loop at Harbour St Boat Ramp,2024-01-23 00:00:00,1106
Foxton Loop at Harbour St Boat Ramp,2024-01-29 00:00:00,801
Foxton Loop at Harbour St Boat Ramp,2024-02-05 00:00:00,52
Foxton Loop at Harbour St Boat Ramp,2024-02-12 00:00:00,487
Foxton Loop at Harbour St Boat Ramp,2024-02-19 00:00:00,262
Foxton Loop at Harbour St Boat Ramp,2024-02-26 00:00:00,8660
Foxton Loop at Harbour St Boat Ramp,2024-03-04 00:00:00,5790
Foxton Loop at Harbour St Boat Ramp,2024-03-11 00:00:00,2064
Foxton Loop at Harbour St Boat Ramp,2024-03-18 00:00:00,160
Foxton Loop at Harbour St Boat Ramp,2024-03-25 00:00:00,368
Foxton Loop at Harbour St Boat Ramp,2024-04-02 00:00:00,108
Foxton Loop at Harbour St Boat Ramp,2024-04-08 00:00:00,613
Foxton Loop at Harbour St Boat Ramp,2024-04-15 00:00:00,241
Foxton Loop at Harbour St Boat Ramp,2024-04-22 00:00:00,422
Foxton Loop at Harbour St Boat Ramp,2024-11-04 00:00:00,1281
Foxton Loop at Harbour St Boat Ramp,2024-11-11 00:00:00,27.6
Foxton Loop at Harbour St Boat Ramp,2024-11-18 00:00:00,684
Foxton Loop at Harbour St Boat Ramp,2024-11-25 00:00:00,269
Foxton Loop at Harbour St Boat Ramp,2024-12-02 00:00:00,
Foxton Loop at Harbour St Boat Ramp,2024-12-09 00:00:00,288
Foxton Loop at Harbour St Boat Ramp,2024-12-16 00:00:00,243
Foxton Loop at Harbour St Boat Ramp,2024-12-23 00:00:00,122
Foxton Loop at Harbour St Boat Ramp,2024-12-30 00:00:00,620
Foxton Loop at Harbour St Boat Ramp,2025-01-06 00:00:00,135
Foxton Loop at Harbour St Boat Ramp,2025-01-13 00:00:00,292
Foxton Loop at Harbour St Boat Ramp,2025-01-21 00:00:00,169
Foxton Loop at Harbour St Boat Ramp,2025-01-28 00:00:00,63
Foxton Loop at Harbour St Boat Ramp,2025-02-03 00:00:00,259
Foxton Loop at Harbour St Boat Ramp,2025-02-10 00:00:00,414
Foxton Loop at Harbour St Boat Ramp,2025-02-17 00:00:00,246
Foxton Loop at Harbour St Boat Ramp,2025-02-24 00:00:00,134
Foxton Loop at Harbour St Boat Ramp,2025-03-03 00:00:00,556
Foxton Loop at Harbour St Boat Ramp,2025-03-10 00:00:00,134
